rank,player_en,team_ar,appearances,player_id_count,player_ids,safe_to_write
100,Mohamed Abdelsamia,الإسماعيلي,95,1,318316,yes
101,Amr Saleh,الاتحاد السكندري,95,1,17131,yes
102,Abdelghani Mohamed,الاتحاد السكندري,95,1,269278,yes
103,Ahmed Hossam,الجونة,95,1,318315,yes
104,Mohab Yasser,الداخلية,95,1,17353,yes
105,Ahmed Emad,الداخلية,95,1,405857,yes
106,Nabil Emad Dunga,الزمالك,95,1,2660,yes
107,Ahmed Amin Oufa,الشرقية إنبي,95,1,295633,yes
108,Khaled Sobhi,المصري,95,1,17032,yes
109,Walid El Karti,بيراميدز,95,1,2714,yes
110,Mido Mostafa,سموحة,95,1,342744,yes
111,M. Hany,طلائع الجيش,95,4,2654;355010;550436;676569,NO - COLLISION
112,R. Slim,الجيش الملكي,95,1,144878,yes
113,A. Tine,نهضة الزمامرة,95,2,294294;535294,NO - COLLISION
114,I. Lihadji,العربي,95,1,129688,yes
115,Gustavo Alemão,النصر الإماراتي,95,1,157837,yes
116,Tahnoon Al Zaabi,الوحدة الإماراتي,95,1,50388,yes
117,A. Al Hosani,عجمان,95,4,50248;579360;579603;579637,NO - COLLISION
118,I. Faiz,عجمان,95,3,71396;522106;542773,NO - COLLISION
119,Mohamed Magdy Afsha,الأهلي المصري,94,1,16843,yes
120,Hatem Mohamed,الإسماعيلي,94,1,269276,yes
121,S. Simporé,البنك الأهلي,94,1,16898,yes
122,F. Akem,الجونة,94,1,405860,yes
123,Moaz El Henawy,الداخلية,94,1,17094,yes
124,R. Ahmed,الداخلية,94,2,297180;315814,NO - COLLISION
125,Ziad Kamal,الشرقية إنبي,94,1,179688,yes
126,Ibrahim Abdel Hakeem,حرس الحدود,94,1,482018,yes
127,Islam Gaber,سموحة,94,1,2661,yes
128,Omar Radwan,طلائع الجيش,94,1,17023,yes
129,Rodrigo Tabata,الريان,94,1,42158,yes
130,Abdulla Al Sulaiti,العربي,94,1,182423,yes
131,Joselu,الغرافة,94,1,18907,yes
132,Khaled Ebraheim,الشارقة,94,1,50372,yes
133,Abdulla Hamad,الوحدة الإماراتي,94,1,134967,yes
134,Abdullah Khamis Juma,دبا الحصن,94,1,50514,yes
135,Ahmed Sebiha,الشرقية إنبي,93,1,135362,yes
136,Louay Wael,المقاولون العرب,93,1,17025,yes
137,H. Moujahid,أولمبيك آسفي,93,1,143835,yes
138,E. El Bellali,اتحاد طنجة,93,2,36610;535157,NO - COLLISION
139,Z. Hamadi,المغرب الفاسي,93,1,100537,yes
140,Khalid Bawazir,الشارقة,93,1,50577,yes
141,Khalid Al Baloushi,العين,93,2,44058;140543,NO - COLLISION
142,Abdullah Al Karbi,الوحدة الإماراتي,93,1,101597,yes
143,Ahmed Abdelrasoul,الجونة,92,1,17191,yes
144,Ahmed Hawash,الشرقية إنبي,92,1,384483,yes
145,Ahmed El-Shenawy,بيراميدز,92,1,2648,yes
146,Fiston Mayele,بيراميدز,92,1,179699,yes
147,A. Liadi,سموحة,92,1,354805,yes
148,Amer Mohamed,غزل المحلة,92,1,17087,yes
149,J. Ngwem,مودرن سبورت,92,1,17031,yes
150,A. El Harrak,اتحاد طنجة,92,1,184004,yes
151,S. Tazi,الفتح,92,1,457102,yes
152,Sebastián Soria,قطر,92,1,42166,yes
153,Sultan Al Mantheri,اتحاد كلباء,92,1,50506,yes
154,Faris Khalil,الوصل,92,1,50516,yes
155,Mohamed Emad,الجونة,91,2,440196;482335,NO - COLLISION
156,Mostafa Dowidar,الشرقية إنبي,91,1,17226,yes
157,Islam Abou-Salima,حرس الحدود,91,2,16886;550394,NO - COLLISION
158,Maata Magassa,زد,91,1,440259,yes
159,J. Arthur,سيراميكا كليوباترا,91,1,376490,yes
160,S. El Amrani,أولمبيك آسفي,91,1,152456,yes
161,Z. Kiani,اتحاد طنجة,91,1,179774,yes
162,M. Bouriga,المغرب الفاسي,91,1,283842,yes
163,S. Chihab,المغرب الفاسي,91,1,230773,yes
164,A. Beye,حسنية أكادير,91,1,447891,yes
165,B. Seck,الشمال,91,1,307000,yes
