match_id,league_code,season,reason,source
1550045,IRQ,2025,مباراة خارج الدوري — كربلاء هابط والتاريخ بعد نهاية الموسم,ويكيبيديا + الاتحاد العراقي
1251962,IRQ,2023,مباراة خارج نظام الدوري — المواجهة الثالثة بين الناديين والتاريخ بعد نهاية الموسم,فحص داخلي — find_extra.py
1251964,IRQ,2023,مباراة خارج نظام الدوري — المواجهة الثالثة بين الناديين والتاريخ بعد نهاية الموسم,فحص داخلي — find_extra.py
1253290,IRQ,2023,مباراة خارج نظام الدوري — المواجهة الثالثة بين الناديين والتاريخ بعد نهاية الموسم,فحص داخلي — find_extra.py
