player_id,form_a,period_a,club_a,n_a,ar_a,form_b,period_b,club_b,n_b,ar_b,leagues,similarity,shared_clubs,match_cooccur,cooccur_rate_pct,unique_pid_both_sides,decision
90956,Mohamed Konate,2026-08-13..2026-09-05,Al-Hazm,3,محمد كوناتي,Mory Konate,2026-08-13..2026-08-30,Al-Hazm,7,موري كوناتي,SAU,0.72,Al-Hazm,1/2,50.0,False,
7061,K. Boateng,2026-08-22..2026-09-09,Al-Fateh,3,كينيدي بواتينغ,Kennedy Boateng,2026-08-15..2026-08-29,Al-Fateh,7,كينيدي بواتينج,SAU,0.72,Al-Fateh,1/2,50.0,True,
36902,T. Reijnders,2026-08-21..2026-09-08,Al-Qadisiyah FC,3,تيجاني رينديرز,Tijjani Reijnders,2026-08-21..2026-08-30,Al-Qadisiyah FC,5,تيجاني ريندرز,SAU,0.759,Al-Qadisiyah FC,1/2,50.0,True,
127688,J. Domingues,2026-09-03..2026-09-09,Al Kholood,3,جوناثان دومينغيز,Julien Domingues,2026-08-15..2026-09-03,Al Kholood,9,جوليان دومينغيز,SAU,0.786,Al Kholood,1/2,50.0,True,
16883,Mohammed Saleh,2022-10-18..2026-04-27,"Al Ittihad, Al-Rayyan SC",66,محمد صالح,Mojtaba Saleh,2025-08-14..2026-04-27,Al-Rayyan SC,20,محمود صالح,"EGY, QAT",0.667,Al-Rayyan SC,9/20,45.0,True,
8450,A. Seck,2026-08-21..2026-09-08,Al-Faisaly FC,5,عبدالله سيك,Abdoulaye Seck,2026-08-14..2026-08-30,Al-Faisaly FC,7,عبد الله سيك,SAU,0.571,Al-Faisaly FC,1/3,33.3,True,
19334,B. Celina,2026-08-22..2026-09-08,Al-Ettifaq,5,بيرسانت سيلينا,Bersant Celina,2026-08-14..2026-08-29,Al-Ettifaq,7,بيرسنت سيلينا,SAU,0.696,Al-Ettifaq,1/3,33.3,True,
51478,R. Abascal,2026-08-28..2026-09-07,Al Riyadh,5,رودريغو أباسكال,Rodrigo Abascal,2026-08-14..2026-08-28,Al Riyadh,5,رودريجو أباسكال,SAU,0.72,Al Riyadh,1/3,33.3,True,
325902,Abdulbasit Hawsawi,2023-08-12..2024-02-23,Damac,12,عبد الباسط هوساوي,Abdullah Al Hawsawi,2023-08-12..2026-05-20,"Al Kholood, Al Najma, Damac",75,عبدالله ال هوساوي,SAU,0.757,Damac,4/12,33.3,False,
2927,M. Batshuayi,2026-08-28..2026-09-09,Abha,5,ميتشي باتشوايي,Michy Batshuayi,2026-08-22..2026-08-28,Abha,5,ميتشي باتشواي,SAU,0.815,Abha,1/3,33.3,True,
576270,F. Al Jayzani,2026-08-28..2026-09-07,Al Riyadh,5,فيصل الجيزاني,Fahad Al Jayzani,2026-08-14..2026-08-28,Al Riyadh,7,فهد الجيزاني,SAU,0.828,Al Riyadh,1/3,33.3,True,
969,T. Jedvaj,2023-01-22..2026-09-09,"Al Ain, Al Shabab",16,تين يدفاي,Tin Jedvaj,2026-08-13..2026-08-30,Al Shabab,7,تين جيدفاي,"SAU, UAE",0.842,Al Shabab,1/4,25.0,True,
388481,Abdulbasit Hawsawi,2023-08-12..2026-08-22,"Al-Ettifaq, Damac",51,عبد الباسط هوساوي,Abdullah Al Hawsawi,2023-08-12..2026-05-20,"Al Kholood, Al Najma, Damac",75,عبدالله ال هوساوي,SAU,0.757,Damac,12/51,23.5,False,
