priority,goals,league,team_ar,player_en,player_ar
B,1,IRQ,أربيل,Kosrat Ali,
B,1,SAU,الاتفاق,Kouka,
B,1,JOR,الأهلي,L. Abu Rahal,
B,1,SAU,التعاون,L. Chávez,
B,1,IRQ,أربيل,L. Hinestroza,
B,1,JOR,الأهلي,L. McIntosh,
B,1,IRQ,ديالى,L. Pahama,
B,1,SAU,الحزم,L. Rosier,
B,1,IRQ,الكرمة,L. Samateh,
B,1,IRQ,الشرطة,L. Santos,
B,1,IRQ,دهوك,Leo Costa,
B,1,IRQ,دهوك,Lucas Turci,
B,1,JOR,الحسين,M. A. Aziz,
B,1,JOR,العقبة,M. AL Hasanat,
B,1,JOR,شباب الأردن,M. Abdel Moneim,
B,1,JOR,الوحدات,M. Abdelmotaleb,
B,1,IRQ,ديالى,M. Abdulsada,
B,1,JOR,مغير السرحان,M. Abidat,
B,1,JOR,شباب الأردن,M. Abu Galia,
B,1,JOR,السلط,M. Abu Zreiq,
B,1,IRQ,الكهرباء,M. Ahmed,
B,1,JOR,الجليل,M. Al Adouan,
B,1,JOR,الحسين,M. Al Aldahod,
B,1,SAU,نيوم,M. Al Burayk,
B,1,SAU,أبها,M. Al Dawsari,
B,1,IRQ,النفط,M. Al Emwase,
B,1,SAU,الاتحاد,M. Al Khaibari,
B,1,JOR,الرمثا,M. Al Laham,
B,1,JOR,معان,M. Al Maha,
B,1,SAU,الوحدة,M. Al Makahasi,
B,1,JOR,الوحدات,M. Al Mawali,
B,1,SAU,الفيحاء,M. Al Rashidi,
B,1,SAU,نيوم,M. Al Saad,
B,1,JOR,الأهلي,M. Al Shatti,
B,1,IRQ,القوة الجوية,M. Al Subhi,
B,1,JOR,الحسين,M. Al Tamizi,
B,1,SAU,القادسية,M. Al Yami,
B,1,JOR,مغير السرحان,M. Al Zawahreh,
B,1,JOR,الفيصلي,M. Al-Akash,
B,1,JOR,الفيصلي,M. Al-Aksh,
B,1,JOR,العقبة,M. Al-Jawhari,
B,1,JOR,معان,M. Al-Nawafleh,
B,1,JOR,الوحدات,M. Al-Rajba,
B,1,IRQ,كربلاء,M. Aws,
B,1,JOR,الجزيرة,M. Ayob,
B,1,SAU,التعاون,M. Barrow                                  0,
B,1,SAU,الأهلي,M. Borjan,
B,1,SAU,الخلود,M. Dams,
B,1,IRQ,الحدود,M. Dellahi,
B,1,JOR,الجزيرة,M. Ghaith,
B,1,IRQ,الطلبة,M. Hameed,
B,1,IRQ,أربيل,M. Helio,
B,1,JOR,شباب الأردن,M. Ismail Ali Osman,
B,1,IRQ,ديالى,M. Jaffal,
B,1,JOR,الوحدات,M. Kahlan,
B,1,IRQ,زاخو,M. Kamil,
B,1,IRQ,الكرمة,M. Khaleel,
B,1,JOR,شباب الأردن,M. Khalid,
B,1,IRQ,ديالى,M. Khudair,
B,1,SAU,التعاون,M. Mahzari,
B,1,JOR,البقعة,M. Masheh,
B,1,SAU,الهلال,M. Meite,
B,1,JOR,السلط,M. Moafi,
B,1,IRQ,دهوك,M. Mohammed,
B,1,JOR,مغير السرحان,M. Obeidat,
B,1,IRQ,كربلاء,M. Radhi,
B,1,IRQ,الحدود,M. Saeed,
B,1,IRQ,أربيل,M. Safaa,
B,1,IRQ,الكهرباء,M. Salah,
B,1,IRQ,القوة الجوية,M. Sami,
B,1,IRQ,الزوراء,M. Soro Nanga                                  0,
B,1,IRQ,كربلاء,M. Talib,
B,1,JOR,سحاب,M. Tannous,
B,1,SAU,الفيحاء,M. Villanueva,
B,1,IRQ,القوة الجوية,M. Walid,
B,1,IRQ,الشرطة,M. Younis,
B,1,JOR,الوحدات,M. Zatara,
B,1,IRQ,الطلبة,Mahdi Kamil                                  0,
B,1,IRQ,الحدود,Mahmoud Ayal,
B,1,SAU,الاتفاق,Majed Dawran,
B,1,SAU,الشباب,Majed Kanabah,
B,1,JOR,الفيصلي,Mara,
B,1,SAU,ضمك,Marcelo Grohe,
B,1,IRQ,الكهرباء,Mashkor Kareem,
B,1,SAU,الوحدة,Meshal Al Alaeli,
B,1,IRQ,كربلاء,Meshtak Silal,
B,1,IRQ,بغداد,Milad Fallah,
B,1,IRQ,الطلبة,Moamel Abd Al Reda,
B,1,IRQ,زاخو,Mohamed Ghinimi,
B,1,IRQ,زاخو,Mohammad Abboud,
B,1,IRQ,زاخو,Mohammad Abu Hasheesh,
B,1,IRQ,الشرطة,Mohammad Abu Zraiq,
B,1,IRQ,نفط الوسط,Mohammad Hasan,
B,1,IRQ,نفط البصرة,Mohammad Jabar Rbat,
B,1,IRQ,الكرخ,Mohammad Mustafa,
B,1,IRQ,الزوراء,Mohammad Ridha,
B,1,IRQ,نفط البصرة,Mohammad Salah,
B,1,IRQ,الكهرباء,Mohammad Zamel,
B,1,IRQ,نوروز,Mohammad Zureigat,
B,1,SAU,الاتفاق,Mohammed Abdulrahman,
B,1,SAU,الاتحاد,Mohammed Al Baqawi,
B,1,SAU,الهلال,Mohammed Al Burayk,
B,1,SAU,الرائد,Mohammed Al Dossary,
B,1,SAU,الأخدود,Mohammed Al Jahif,
B,1,IRQ,القاسم,Mohammed Albaqer,
B,1,IRQ,الزوراء,Mohammed Ali,
B,1,SAU,الرياض,Mohammed Jahfali,
B,1,IRQ,ديالى,Mohammed Jasim,
B,1,SAU,النصر,Mohammed Marran,
B,1,IRQ,النجف,Mohammed Saleh,
B,1,IRQ,زاخو,Moisés Gaúcho,
B,1,IRQ,نفط الوسط,Momel Rashed,
B,1,IRQ,نفط البصرة,Moresche,
B,1,IRQ,بغداد,Muhammed Jameel,
B,1,SAU,الأخدود,Muhannad Al Qaydhi,
B,1,IRQ,نفط الوسط,Mujeeb Naama,
B,1,IRQ,الشرطة,Munaf Younus,
B,1,IRQ,القاسم,Murtada Kasad,
B,1,IRQ,الطلبة,Musaab Jalal,
B,1,SAU,الأخدود,Musleh Al Shaikh,
B,1,IRQ,نفط البصرة,Mustafa Hadi,
B,1,IRQ,نفط ميسان,Mustafa Nadhim,
B,1,IRQ,القوة الجوية,Mustafa Saadoun,
B,1,IRQ,القوة الجوية,Mustafa Sadoun,
B,1,IRQ,الكرخ,Mustafa Waleed,
B,1,SAU,التعاون,Muteb Al Mufarrij,
B,1,IRQ,زاخو,N. Al Gahwashi,
B,1,IRQ,بغداد,N. Frankline,
B,1,JOR,الجليل,N. Khekhash,
B,1,SAU,الفتح,N. Masoud,
B,1,IRQ,نفط البصرة,N. Mbengue,
B,1,IRQ,الكهرباء,N. Muhammad,
B,1,SAU,ضمك,N. Stanciu                                  1,
B,1,IRQ,نفط البصرة,N. Sulley,
B,1,SAU,الأهلي,Nacho,
B,1,SAU,الرائد,Naif Hazazi,
B,1,SAU,الحزم,Nawaf Al Habashi,
B,1,SAU,الفيحاء,Nawaf Al Harthi,
B,1,SAU,النصر,Nawaf Bu Washl,
B,1,SAU,الرائد,Nawaf Sahli,
B,1,JOR,الرمثا,O. Abu Aqleh,
B,1,JOR,البقعة,O. Al Manasrah,
B,1,JOR,الجليل,O. Al Namarna,
B,1,JOR,الأهلي,O. Al Shatnawe,
B,1,IRQ,بغداد,O. Alabi,
B,1,SAU,الأخدود,O. Barry,
B,1,IRQ,الطلبة,O. Belhaj,
B,1,JOR,الوحدات,O. Gueye,
B,1,JOR,العقبة,O. Israiwah,
B,1,JOR,العقبة,O. Khadr,
B,1,IRQ,الكرخ,O. Nouri,
B,1,JOR,الوحدات,O. Olufunwa,
B,1,SAU,أبها,Omar Al Ruwaili,
B,1,IRQ,ديالى,Omer Assi,
B,1,IRQ,القاسم,P. Gyan,
B,1,SAU,الرائد,P. Szappanos,
B,1,SAU,النجمة,Petros,
B,1,JOR,العقبة,Q. Al Ajalin,
B,1,JOR,معان,Q. Al Nemr,
B,1,JOR,العقبة,Q. Dawhda,
B,1,JOR,الجزيرة,Q. Khaled,
B,1,JOR,الأهلي,Q. Khulaifat,
B,1,IRQ,نفط البصرة,Qasem Mohammad,
B,1,IRQ,دهوك,R. Acquah,
B,1,JOR,معان,R. Al Deen,
B,1,SAU,التعاون,R. Faivre,
B,1,IRQ,النجف,R. Kabwe,
B,1,IRQ,الكرمة,R. Kassaga,
B,1,IRQ,الكهرباء,R. Mortada,
B,1,IRQ,الكهرباء,R. Muntadher,
B,1,IRQ,الميناء,R. Parra,
B,1,SAU,التعاون,R. Rivas,
B,1,IRQ,نفط ميسان,Rami Ali,
B,1,SAU,الفتح,Ramos Jefferson,
B,1,SAU,الفيحاء,Ricardo Ryller,
B,1,IRQ,أربيل,Roa Youssef,
B,1,JOR,الحسين,Romaneli,
B,1,IRQ,دهوك,S. Ageed,
B,1,JOR,الوحدات,S. Al Ajalin,
B,1,JOR,الرمثا,S. Al Hadi,
B,1,SAU,ضمك,S. Al Hawsawi,
B,1,IRQ,الطلبة,S. Al Kathem,
B,1,JOR,مغير السرحان,S. Al Khazalaa,
B,1,IRQ,النجف,S. Alaa,
B,1,IRQ,الميناء,S. Almadjed,
B,1,SAU,الفتح,S. Baattia,
B,1,JOR,السلط,S. Bashabsheh,
B,1,SAU,نيوم,S. Bouabre,
B,1,JOR,الفيصلي,S. Dediu,
B,1,JOR,الفيصلي,S. Diedhiou,
B,1,SAU,الرياض,S. Gonzalez,
B,1,JOR,الأهلي,S. Jaeara,
B,1,IRQ,زاخو,S. Jameel,
B,1,IRQ,زاخو,S. Karim,
B,1,SAU,الرياض,S. Lega,
B,1,SAU,النجمة,S. M. Al Aqel M.,
B,1,IRQ,الزوراء,S. M. Mahdi Al Saedi,
B,1,IRQ,أربيل,S. Mansor,
B,1,JOR,العقبة,S. Mantala,
B,1,IRQ,النفط,S. Mohammed,
B,1,IRQ,دهوك,S. Natiq,
B,1,IRQ,بغداد,S. Outtara,
B,1,SAU,الخلود,S. Pinas,
B,1,IRQ,القاسم,S. Rashed,
B,1,IRQ,نفط الوسط,S. Rincón,
B,1,JOR,معان,S. Shalaby,
B,1,JOR,شباب الأردن,S. Suleiman,
B,1,SAU,الأهلي,S. Tanker,
B,1,SAU,الاتحاد,Saad Al Mosa,
B,1,SAU,التعاون,Saad Al Nasser,
B,1,SAU,الأهلي,Saad Yaslam,
B,1,IRQ,الزوراء,Sabah Hasan,
B,1,IRQ,ديالى,Sadiq Hamad,
B,1,SAU,الوحدة,Saeed Al Muwallad,
B,1,IRQ,الكهرباء,Sajjad Khalil,
B,1,IRQ,الكرخ,Saleh Gomaa,
B,1,SAU,الخليج,Sami Al Khaibari,
B,1,SAU,النصر,Sami Al Naji,
B,1,SAU,التعاون,Sattam Al Roqi,
B,1,SAU,الفيحاء,Saud Zaydan,
B,1,IRQ,النجف,Sheber Ali,
B,1,IRQ,نوروز,Sivan Omar,
B,1,IRQ,النجف,Sttar Jabbar,
B,1,SAU,ضمك,Sultan Faqihi,
B,1,JOR,شباب الأردن,T. Al-Dirabany,
B,1,IRQ,الغراف,T. Hindawi,
B,1,SAU,الخليج,T. Murg,
B,1,SAU,الأخدود,T. Nguen,
B,1,IRQ,النجف,Taher Hameed,
B,1,SAU,الطائي,Tariq Abdullah,
B,1,SAU,الفتح,Tawfiq Buhumaid,
B,1,SAU,الاتحاد,Unai Hernández,
B,1,JOR,الأهلي,V. Assie Koua,
B,1,SAU,الطائي,V. Misidjan                                  0,
B,1,SAU,التعاون,Vitao,
B,1,JOR,شباب الأردن,W. Al Bari,
B,1,IRQ,الكرمة,W. Da Silva,
B,1,IRQ,الكهرباء,W. Ramadan,
B,1,IRQ,الطلبة,Wakaa Ramadan,
B,1,JOR,الأهلي,Weldon,
B,1,SAU,النصر,Wesley,
B,1,JOR,السلط,Y. Abdelaal,
B,1,SAU,الشباب,Y. Adli,
B,1,IRQ,زاخو,Y. Al Alousi,
B,1,SAU,الرائد,Y. Bouzok,
B,1,JOR,الأهلي,Y. Dahshan,
B,1,JOR,الصريح,Y. Daraghma,
B,1,JOR,الفيصلي,Y. Garbala,
B,1,JOR,الفيصلي,Y. Jalbosh,
B,1,JOR,الفيصلي,Y. Jalboush,
B,1,IRQ,الكهرباء,Y. Kudhair,
B,1,JOR,الرمثا,Y. Mohammad,
B,1,JOR,العقبة,Y. Shaukat,
B,1,SAU,الرياض,Yahia Al Shehri,
B,1,SAU,الهلال,Yasir Al Shahrani,
B,1,IRQ,زاخو,Yousef Raed,
B,1,IRQ,القوة الجوية,Youssef Fawzi Ali Al Mamori,
B,1,JOR,الجزيرة,Z. A. Al-Rish,
B,1,SAU,الأهلي,Z. Al Hawsawi,
B,1,JOR,الحسين,Z. Al Zawahra,
B,1,IRQ,الميناء,Z. Al-Abidin Jasim,
B,1,JOR,شباب الأردن,Z. Asfar,
B,1,IRQ,دهوك,Z. Ibrahim,
B,1,IRQ,الطلبة,Zaid Tahssen,
B,1,SAU,الاتحاد,Zakaria Al Hawsawi,
B,1,IRQ,دهوك,Ziad Ahmad,
B,1,SAU,العروبة,Ziyad Al Hunaiti,
B,1,IRQ,دهوك,Ziyar Kovand,
B,1,SAU,أبها,É. Mendy,
