rank,player_en,team_ar,appearances,user_translation,player_id_count,player_ids,safe_to_write
280,Ahmed Hakam,سموحة,83,أحمد حكم,1,354804,yes
281,Mohamed Essam,سموحة,83,محمد عصام,2,108463;395532,NO - COLLISION
282,A. Kendouci,سيراميكا كليوباترا,83,أحمد قندوسي,1,4496,yes
283,A. Diarra,أولمبيك آسفي,83,عبدولاي ديارا,1,152496,yes
284,K. Baba,الدفاع الحسني,83,كينغسلي بابا,1,302984,yes
285,C. Faidi,الفتح,83,شرف الدين فايدي,1,338553,yes
286,M. Goullous,النادي المكناسي,83,المهدي القلوص,1,380729,yes
287,Yazan Naim,الأهلي,83,يزن نعيم,2,42171;542545,NO - COLLISION
288,Ismaeel Mohammad,الدحيل,83,إسماعيل محمد,1,42088,yes
289,Lucas Veríssimo,الدحيل,83,لوكاس فيريسمو,1,9991,yes
290,A. Mohamed,السيلية,83,أحمد محمد,6,182424;269278;384484;410133;534120;631657,NO - COLLISION
291,Mohamed Abdallah,الشحانية,83,محمد عبد الله,3,268409;428225;546978,NO - COLLISION
292,Mahdi Salem,الشمال,83,مهدي سالم,1,409490,yes
293,Simo,العربي,83,سيمو,2,349397;534036,NO - COLLISION
294,S. Sano,الغرافة,83,سيدو سانو,1,408219,yes
295,S. Ghoddos,اتحاد كلباء,83,سامان قدوس,1,2699,yes
296,I. Lagrimi,الجزيرة الإماراتي,83,إبراهيم لاغريمي,1,409735,yes
297,M. Rabii,الجزيرة الإماراتي,83,محمد ربيعي,1,158591,yes
298,Hussain Mahdi,النصر الإماراتي,83,حسين مهدي,1,101662,yes
299,Jadsom,الوحدة الإماراتي,83,جادسوم,1,80539,yes
300,Ali Al Dhanhani,دبا الحصن,83,علي الظنحاني,1,50262,yes
301,P. Tau,الأهلي المصري,82,بيرسي تاو,1,3295,yes
302,Khaled Abdelfattah,الأهلي المصري,82,خالد عبد الفتاح,1,181901,yes
303,Ahmed Yasser,البنك الأهلي,82,أحمد ياسر,3,16907;42064;629409,NO - COLLISION
304,Ayman Ashraf,البنك الأهلي,82,أيمن أشرف,1,16801,yes
305,Sayed Abdallah,البنك الأهلي,82,سيد عبد الله,1,342789,yes
306,H. Ibrahim,الجونة,82,حسام إبراهيم,3,273044;408358;639374,NO - COLLISION
307,Shikabala,الزمالك,82,شيكابالا,1,26984,yes
308,Hussein Al Sayed,المصري,82,حسين السيد,1,44566,yes
309,Mohamed El Gabbas,بيراميدز,82,محمد الجباس,1,17150,yes
310,Ahmed Ghoneim,منتخب السويس بتروجت,82,أحمد غنيم,1,440654,yes
311,H. Malki,الدفاع الحسني,82,حمزة المالكي,2,437543;535289,NO - COLLISION
312,Y. Limouri,الشباب السالمي,82,يونس ليموري,2,144881;535291,NO - COLLISION
313,A. Mahir,الفتح,82,أيوب ماهر,1,193187,yes
314,A. Tahif,نهضة بركان,82,عادل طاهيف,1,287434,yes
315,O. Lamlaoui,نهضة بركان,82,أسامة اللمليوي,1,294303,yes
316,M. Maftah,نهضة بركان,82,محمد مفتاح,1,146782,yes
317,Yaser Al Blooshi,اتحاد كلباء,82,ياسر البلوشي,1,181136,yes
318,Khalifa Al Hammadi,الجزيرة الإماراتي,82,خليفة الحمادي,1,50340,yes
319,Harib Abdalla Suhail,شباب الأهلي,82,حارب عبد الله سهيل,1,181135,yes
320,I. Moumen,عجمان,82,إسماعيل مؤمن,1,367668,yes
321,Victor Henrique,عجمان,82,فيكتور هنريكي,1,475903,yes
322,Serge Aka,البنك الأهلي,81,سيرج أكا,1,17038,yes
323,M. Dahak,اتحاد تواركة,81,محمد ضحاك,1,457100,yes
324,R. Ait Lemkadem,اتحاد تواركة,81,رضوان آيت لمقدم,1,385465,yes
325,A. Hamza,المغرب الفاسي,81,أسامة حمزة,2,336148;353157,NO - COLLISION
326,Talal Abdulla Bahzad,الأهلي,81,طلال عبد الله بهزاد,1,181144,yes
327,Saad Al Sheeb,السد,81,سعد الشيب,1,2525,yes
328,Abdullah Murisi,العربي,81,عبد الله المريسي,1,42393,yes
329,M. Taabouni,العربي,81,محمد طابوني,1,36904,yes
330,Rabeh Boussafi,الوكرة,81,رابح بوسفي,1,42085,yes
331,Saif Hassan Al Mohanadi,معيذر,81,سيف حسن المهندي,1,42375,yes
332,Mohamed Al Junaibi,الظفرة,81,محمد الجنيبي,1,50393,yes
333,Kouame Kouadio,العين,81,كوامي كووديو,1,156202,yes
