league,team_ar,seasons,appearances,player_en,full_name_en,player_ar
EGY,المقاولون العرب,2025-2026,1,M. Walid,,
EGY,بترول أسيوط,2025-2026 .. 2026-2027,6,Z. Tarek,,
EGY,بترول أسيوط,2026-2027,5,A. El Khamisi,Abdelrahman El Khamisi,
EGY,بترول أسيوط,2026-2027,5,M. Abdel Hamid,Mostafa Sadafa,
EGY,بترول أسيوط,2026-2027,4,M. Abdel Aleim,Mahmoud Okal,
EGY,بترول أسيوط,2025-2026 .. 2026-2027,4,A. Ahmed,,
EGY,بترول أسيوط,2026-2027,4,B. F. Abu,Bakr Fawzi,
EGY,بترول أسيوط,2026-2027,3,A. Salam,Alabi Salam,
EGY,بترول أسيوط,2026-2027,3,A. Shokry,,
EGY,بترول أسيوط,2026-2027,3,A. Younes,Ahmed Younes,
EGY,بترول أسيوط,2026-2027,3,C. C. Bodne,Che Corines Bodne,
EGY,بترول أسيوط,2026-2027,3,I. Abbas,Ibrahim Abbas,
EGY,بترول أسيوط,2026-2027,3,J. Egagy,Joshua Egagy,
EGY,بترول أسيوط,2026-2027,3,K. Abdelaal,Khaled Abdelaal,
EGY,بترول أسيوط,2026-2027,3,M. Eid,Mohammed Eid,
EGY,بترول أسيوط,2026-2027,3,M. Tayeb,Mohamed Hesha,
EGY,بترول أسيوط,2026-2027,2,A. Keshkesh,Abdo Keshkesh,
EGY,بترول أسيوط,2026-2027,2,A. Morgan,Abdelrahman Morgan,
EGY,بترول أسيوط,2026-2027,1,Abdelrahman El Khamisi,,
EGY,بترول أسيوط,2026-2027,1,Bakr Fawzi,,
EGY,بترول أسيوط,2026-2027,1,Che Corines Bodne,,
EGY,بلدية المحلة,2022-2023 .. 2025-2026,43,Hossam Ashraf,,
EGY,بلدية المحلة,2023-2024 .. 2024-2025,26,Islam Marzouk,,
EGY,بلدية المحلة,2022-2023 .. 2026-2027,25,Ahmed Reda,,
EGY,بلدية المحلة,2023-2024 .. 2025-2026,21,Abdo Semana,,
EGY,بلدية المحلة,2023-2024 .. 2025-2026,21,Maged Hany,,
EGY,بلدية المحلة,2022-2023 .. 2023-2024,17,Youssef Hassan,,
EGY,بلدية المحلة,2023-2024 .. 2024-2025,14,M. Amissi,,
EGY,بلدية المحلة,2023-2024 .. 2024-2025,13,Ahmed Magdy Kahraba,,
EGY,بلدية المحلة,2023-2024,11,Karim Mamdouh Khaled,,
EGY,بلدية المحلة,2022-2023 .. 2026-2027,10,Momen Rady,,
EGY,بلدية المحلة,2023-2024 .. 2024-2025,8,Enoque Tula,,
EGY,بلدية المحلة,2023-2024,7,Mohamed Adel Amo,,
EGY,بلدية المحلة,2023-2024 .. 2024-2025,7,Mohamed Amissi,,
EGY,بلدية المحلة,2023-2024,6,Wahid Mohsen,,
EGY,بلدية المحلة,2023-2024,6,Abdel Rahman Hammad,,
EGY,بلدية المحلة,2023-2024 .. 2025-2026,6,Ahmed Etman,,
EGY,بلدية المحلة,2023-2024,6,Alaa Yehia,,
EGY,بلدية المحلة,2023-2024,5,Mohamed Saber,,
EGY,بلدية المحلة,2023-2024,5,El Sayed Zayed,,
EGY,بلدية المحلة,2023-2024,4,Ibrahim Sheta,,
EGY,بلدية المحلة,2023-2024,3,Hamza Magdi,,
EGY,بلدية المحلة,2023-2024,2,E. Ihezuo,,
EGY,بلدية المحلة,2023-2024,2,M. Razak,,
EGY,بلدية المحلة,2023-2024,2,Mohamed Abdel Razak,,
EGY,بلدية المحلة,2023-2024,2,Wahed Mohsen,,
EGY,بلدية المحلة,2023-2024,1,Ahmed Hussein,,
EGY,بلدية المحلة,2023-2024,1,Emmanuel Ihezuo,,
EGY,بلدية المحلة,2023-2024,1,Islam Al Mazayen,,
EGY,بلدية المحلة,2023-2024,1,Karim Ashraf,,
EGY,بلدية المحلة,2023-2024,1,M. Ephrem,,
EGY,بلدية المحلة,2023-2024,1,N. Zammouri,,
EGY,بلدية المحلة,2023-2024,1,Nour Zamen Zammouri,,
EGY,بلدية المحلة,2023-2024,1,W. Ifeanyi,,
EGY,بلدية المحلة,2023-2024,1,Wisdom Ifeanyi,,
EGY,بيراميدز,2022-2023 .. 2025-2026,72,F. Lakay,,
EGY,بيراميدز,2022-2023 .. 2024-2025,71,Mostafa Fathi,,
EGY,بيراميدز,2023-2024 .. 2025-2026,70,F. Mayele,,
EGY,بيراميدز,2022-2023 .. 2024-2025,55,Ibrahim Adel,,
EGY,بيراميدز,2022-2023 .. 2024-2025,47,Ramadan Sobhi,,
EGY,بيراميدز,2022-2023 .. 2025-2026,43,Marwan Hamdy,,
EGY,بيراميدز,2022-2023 .. 2024-2025,37,B. Touré,Birama Touré,
EGY,بيراميدز,2022-2023 .. 2026-2027,34,M. Chibi,Mohamed Chibi,
EGY,بيراميدز,2022-2023 .. 2026-2027,33,Ahmed Samy,,
EGY,بيراميدز,2022-2023 .. 2026-2027,33,Karim Hafez,,
EGY,بيراميدز,2025-2026 .. 2026-2027,33,N. Maher,Nasser Maher,
EGY,بيراميدز,2022-2023 .. 2026-2027,27,W. El Karti,Walid El Karti,
EGY,بيراميدز,2022-2023 .. 2025-2026,27,Mohamed Chibi,,
EGY,بيراميدز,2022-2023 .. 2025-2026,26,Ahmed Tawfik,,
EGY,بيراميدز,2025-2026 .. 2026-2027,23,Zalaka,Mahmoud Zalaka,
EGY,بيراميدز,2025-2026 .. 2026-2027,22,M. Fathi,Mohamed Fathi | Mostafa Fathy,
EGY,بيراميدز,2022-2023 .. 2025-2026,21,Mohanad Lasheen,,
EGY,بيراميدز,2022-2023 .. 2025-2026,20,Walid El Karti,,
EGY,بيراميدز,2022-2023 .. 2026-2027,19,Mohamed Hamdi,,
EGY,بيراميدز,2022-2023 .. 2025-2026,18,Ali Gabr,,
EGY,بيراميدز,2025-2026,16,M. Ziko,,
EGY,بيراميدز,2022-2023 .. 2026-2027,16,Mahmoud Marei,,
EGY,بيراميدز,2022-2023 .. 2025-2026,15,Osama Galal,,
EGY,بيراميدز,2023-2024 .. 2025-2026,13,Fiston Mayele,,
EGY,بيراميدز,2025-2026 .. 2026-2027,11,Ewerton,,
EGY,بيراميدز,2025-2026 .. 2026-2027,9,K. Hafez,Karim Hafez,
EGY,بيراميدز,2022-2023 .. 2023-2024,9,Ahmed Fathy,,
EGY,بيراميدز,2024-2025 .. 2025-2026,9,Hamed Hemdan,,
EGY,بيراميدز,2022-2023 .. 2025-2026,9,Ibrahim Blati Toure,,
EGY,بيراميدز,2025-2026 .. 2026-2027,8,H. Hamdan,,
EGY,بيراميدز,2026-2027,8,O. Fakhoury,,
EGY,بيراميدز,2025-2026 .. 2026-2027,8,Y. Obama,Youssef Obama,
EGY,بيراميدز,2025-2026 .. 2026-2027,6,M. Lasheen,Mohanad Lasheen,
EGY,بيراميدز,2024-2025 .. 2025-2026,6,Ahmed El-Shenawy,,
EGY,بيراميدز,2025-2026,5,I. Toure,,
EGY,بيراميدز,2022-2023 .. 2026-2027,5,M. Gad,Mahmoud Gad,
EGY,بيراميدز,2025-2026 .. 2026-2027,5,M. Marei,Mahmoud Marei,
EGY,بيراميدز,2025-2026 .. 2026-2027,5,O. Galal,Osama Galal,
EGY,بيراميدز,2022-2023 .. 2023-2024,5,Ahmed Fathi,,
EGY,بيراميدز,2026-2027,4,A. Samy,Ahmed Samy,
EGY,بيراميدز,2025-2026,4,O. Al Fakhouri,,
EGY,بيراميدز,2023-2024 .. 2025-2026,4,Dodo El Gabas,,
EGY,بيراميدز,2023-2024 .. 2025-2026,4,Mahmoud Dunga,,
EGY,بيراميدز,2023-2024 .. 2025-2026,4,Mostafa Fathy,,
EGY,بيراميدز,2022-2023 .. 2023-2024,3,Mohamed Abdel Salam,,
EGY,بيراميدز,2026-2027,3,A. El Shenawy,Ahmed El-Shenawy,
EGY,بيراميدز,2025-2026 .. 2026-2027,3,A. Tawfik,Ahmed Tawfik | Akram Tawfik,
EGY,بيراميدز,2026-2027,3,Otta,Ahmed Atef,
EGY,بيراميدز,2025-2026,3,Ibrahim Blati Tourè,,
EGY,بيراميدز,2022-2023 .. 2024-2025,2,Mohamed El Gabbas,,
EGY,بيراميدز,2026-2027,2,D. El Gabas,Dodo El Gabas,
EGY,بيراميدز,2026-2027,2,E. El Askalany,Eiad El Askalany,
EGY,بيراميدز,2022-2023 .. 2023-2024,2,Ahmed El Shenawy,,
EGY,بيراميدز,2022-2023,2,Mahmoud Abdul Aati Donga,,
EGY,بيراميدز,2022-2023,2,Mahmoud Abdul Aati Dunga,,
EGY,بيراميدز,2022-2023 .. 2023-2024,2,Youssef Osama Nabih,,
EGY,بيراميدز,2025-2026,1,A. Gabr,,
EGY,بيراميدز,2026-2027,1,N. Benbouali,Ahmed Nadhir Benbouali,
EGY,حرس الحدود,2025-2026 .. 2026-2027,48,M. Hamdi,Marwan Hamdi | Mohamed Hamdy Zaki,
EGY,حرس الحدود,2023-2024 .. 2025-2026,37,Mohamed El Deghemy,,
EGY,حرس الحدود,2022-2023 .. 2026-2027,34,Mahmoud Mamdouh,,
EGY,حرس الحدود,2023-2024 .. 2026-2027,21,Hazem Mohamed,,
EGY,حرس الحدود,2022-2023 .. 2025-2026,20,Mostafa Sobhi,,
EGY,حرس الحدود,2025-2026,19,M. El Negely,,
EGY,حرس الحدود,2022-2023,16,Ahmed Felix,,
EGY,حرس الحدود,2022-2023 .. 2026-2027,16,Ahmed Ayman,,
EGY,حرس الحدود,2024-2025,15,M. Karidioula,,
EGY,حرس الحدود,2022-2023 .. 2025-2026,14,Mostafa Gamal,,
EGY,حرس الحدود,2023-2024 .. 2025-2026,13,Abdo Gouda,,
EGY,حرس الحدود,2022-2023 .. 2025-2026,13,Islam Abou-Salima,,
EGY,حرس الحدود,2025-2026,12,A. El Sheikh,,
EGY,حرس الحدود,2022-2023 .. 2025-2026,12,Ibrahim El Kadi,,
EGY,حرس الحدود,2025-2026,12,A. Hafez,,
EGY,حرس الحدود,2022-2023,12,Ahmed Shedid,,
EGY,حرس الحدود,2022-2023,12,Islam Gamal,,
EGY,حرس الحدود,2022-2023,12,Wagih Abdel Hakim,,
EGY,حرس الحدود,2024-2025 .. 2025-2026,11,Ibrahim Abdel Hakeem,,
EGY,حرس الحدود,2025-2026,11,M. Magli,,
EGY,حرس الحدود,2022-2023 .. 2024-2025,10,Fawzi El Henawi,,
EGY,حرس الحدود,2025-2026 .. 2026-2027,10,Mahmoud Sayed Okaa,Mahmoud Ouka,
EGY,حرس الحدود,2022-2023 .. 2024-2025,10,Mahmoud Abou Gouda,,
EGY,حرس الحدود,2024-2025 .. 2025-2026,10,Mahmoud Ouka,,
EGY,حرس الحدود,2025-2026 .. 2026-2027,9,I. Abou-Salima,Islam Abou-Salima,
EGY,حرس الحدود,2023-2024 .. 2026-2027,9,Mahmoud El Zanfaly,Mahmoud El Zonfoly,
EGY,حرس الحدود,2022-2023 .. 2025-2026,9,Momen Awad,,
EGY,حرس الحدود,2022-2023,9,O. Valentine,,
EGY,حرس الحدود,2022-2023,9,Omar Bassam,,
EGY,حرس الحدود,2022-2023,8,E. David,,
EGY,حرس الحدود,2023-2024 .. 2024-2025,8,Mahmoud Sayed okaa,,
EGY,حرس الحدود,2025-2026,8,O. Saviola,,
EGY,حرس الحدود,2025-2026 .. 2026-2027,8,F. El Henawy,Fawzi El Henawy,
EGY,حرس الحدود,2022-2023,8,Khaled Sami,,
EGY,حرس الحدود,2025-2026,7,I. Abdelhakim,,
EGY,حرس الحدود,2022-2023 .. 2025-2026,7,Fawzi El Henawy,,
EGY,حرس الحدود,2023-2024 .. 2024-2025,6,Abdel Rahman Gouda,,
EGY,حرس الحدود,2022-2023,6,Mahmoud Ramadan,,
EGY,حرس الحدود,2025-2026,6,Ikenna Cooper,,
EGY,حرس الحدود,2025-2026,6,M. El Deghemy,,
EGY,حرس الحدود,2022-2023,5,Ahmed Fathi Hamza,,
EGY,حرس الحدود,2022-2023,5,Mahmoud Ben Wali,,
EGY,حرس الحدود,2024-2025,5,Mohamed Mostafa,,
EGY,حرس الحدود,2022-2023,5,Valentine Odoh,,
EGY,حرس الحدود,2025-2026,4,Abdallah Ahmed Hafez,,
EGY,حرس الحدود,2024-2025 .. 2025-2026,4,K. Kouadja,,
EGY,حرس الحدود,2025-2026,4,M. Ouka,,
EGY,حرس الحدود,2022-2023 .. 2024-2025,4,Mahmoud Abou-Gouda,,
EGY,حرس الحدود,2025-2026,3,A. Abid,,
EGY,حرس الحدود,2025-2026,3,A. Nayel,,
EGY,حرس الحدود,2022-2023,3,Ahmed El Saadani,,
EGY,حرس الحدود,2022-2023,3,Gharib Yasser Gharib,,
EGY,حرس الحدود,2025-2026,3,I. Cooper,,
EGY,حرس الحدود,2025-2026,3,M. Bayoumi,,
EGY,حرس الحدود,2025-2026,3,Mohamed Adham,,
EGY,حرس الحدود,2025-2026,3,Mohamed Adham El Negely,,
EGY,حرس الحدود,2025-2026,2,A. Nail,,
EGY,حرس الحدود,2022-2023,2,Ahmed Amer,,
EGY,حرس الحدود,2022-2023,2,Ahmed Dawooda,,
EGY,حرس الحدود,2022-2023,2,Ahmed Kassem,,
EGY,حرس الحدود,2025-2026,2,Ahmed Nayel,,
EGY,حرس الحدود,2022-2023,2,Ahmed Shedid Kenawi,,
EGY,حرس الحدود,2022-2023,2,Gharib Yasser,,
EGY,حرس الحدود,2025-2026,2,Ismail Ashraf,,
EGY,حرس الحدود,2022-2023,2,K. Kuku,,
EGY,حرس الحدود,2025-2026,2,Moataz Mohamed,,
EGY,حرس الحدود,2024-2025,2,Mohamed El Kott,,
EGY,حرس الحدود,2024-2025,2,Mohamed Seha,,
EGY,حرس الحدود,2022-2023,1,Ahmed Daouda,,
EGY,حرس الحدود,2022-2023,1,Ahmed Kasem,,
EGY,حرس الحدود,2024-2025,1,Ayman Orabi,,
EGY,حرس الحدود,2022-2023,1,Kingsley Fidelis Kuku,,
EGY,حرس الحدود,2024-2025,1,Kouassi Kouadja,,
EGY,حرس الحدود,2024-2025,1,Kouassi Kuassiso,,
EGY,حرس الحدود,2025-2026,1,M. Abdelghani,,
EGY,حرس الحدود,2025-2026,1,Mahmoud El-Badry,,
EGY,حرس الحدود,2022-2023,1,Medhat Fakousa,,
EGY,حرس الحدود,2022-2023,1,Medhat Ibrahim Fakousa,,
EGY,حرس الحدود,2022-2023,1,Mohamed Ahmed Kamel,,
EGY,حرس الحدود,2022-2023,1,Ramzi Khaled,,
EGY,زد,2022-2023 .. 2026-2027,75,Shady Hussein,,
EGY,زد,2022-2023 .. 2024-2025,61,Mostafa Zico,,
EGY,زد,2022-2023 .. 2025-2026,59,Mostafa Saad,,
EGY,زد,2022-2023 .. 2026-2027,54,Abdelrahman El Banouby,,
EGY,زد,2022-2023 .. 2025-2026,42,Dilson,,
EGY,زد,2022-2023 .. 2026-2027,40,Mohamed Ashraf,,
EGY,زد,2023-2024 .. 2025-2026,38,M. Magassa,,
EGY,زد,2025-2026 .. 2026-2027,34,A. Atef,Ahmed Atef,
EGY,زد,2022-2023 .. 2025-2026,32,Hamdy Alaa,,
EGY,زد,2022-2023 .. 2024-2025,24,Abdallah Magdy,,
EGY,زد,2025-2026 .. 2026-2027,23,S. Hussein,Shady Hussein,
EGY,زد,2025-2026 .. 2026-2027,22,Abdelrahman El Sakran,Abdelrahman El Banouby,
EGY,زد,2023-2024 .. 2025-2026,19,Mohamed Rabia,,
EGY,زد,2023-2024 .. 2025-2026,19,Maata Magassa,,
EGY,زد,2022-2023 .. 2023-2024,18,Ahmed Atef Otta,,
EGY,زد,2025-2026 .. 2026-2027,18,M. Saber,Mahmoud Saber,
EGY,زد,2025-2026 .. 2026-2027,18,Messi,Ahmed Adel | Ahmed Elkalamawy,
EGY,زد,2023-2024 .. 2025-2026,17,Ali Gamal,,
EGY,زد,2023-2024 .. 2026-2027,17,Ahmed Zaki,,
EGY,زد,2022-2023 .. 2025-2026,17,Ahmed Sayed Abdelnaby,,
EGY,زد,2025-2026,15,M. Saad,Mostafa Saad,
EGY,زد,2025-2026 .. 2026-2027,15,R. Khalil,Rafaat Khalil,
EGY,زد,2022-2023 .. 2025-2026,14,Rafaat Khalil,,
EGY,زد,2022-2023 .. 2025-2026,13,Mostafa Ziko,,
EGY,زد,2025-2026 .. 2026-2027,13,T. Alaa,Tarek Alaa,
EGY,زد,2022-2023 .. 2024-2025,12,Ahmed Abdel Naby,,
EGY,زد,2023-2024 .. 2024-2025,12,P. Mutumosi,,
EGY,زد,2022-2023 .. 2025-2026,11,Ahmed El-Saghiri,,
EGY,زد,2024-2025 .. 2025-2026,10,Ahmed Tarek,,
EGY,زد,2022-2023 .. 2025-2026,9,Islam Abdallah,,
EGY,زد,2025-2026 .. 2026-2027,9,M. Rabia,Mohamed Rabia,
EGY,زد,2023-2024 .. 2025-2026,9,Ali Lotfi,,
EGY,زد,2024-2025 .. 2025-2026,9,Sameh Ibrahim,,
EGY,زد,2025-2026 .. 2026-2027,8,A. Bakri,Abdallah Bakri,
EGY,زد,2023-2024 .. 2024-2025,8,Peter Zilu Mutumosi,,
EGY,زد,2025-2026 .. 2026-2027,7,A. Emad,Abdallah Emad | Abdel Rahman Emad,
EGY,زد,2025-2026,7,Kabaka,,
EGY,زد,2022-2023 .. 2025-2026,6,Ahmed Castelo,,
EGY,زد,2025-2026 .. 2026-2027,4,F. Walid,Walid Farag,
EGY,زد,2026-2027,4,M. Hajij,Marwane Hajij,
EGY,زد,2024-2025,4,Ahmed El Saghiri,,
EGY,زد,2023-2024 .. 2025-2026,4,H. Alaa,,
EGY,زد,2023-2024 .. 2025-2026,4,M. Sawaneh,,
EGY,زد,2026-2027,3,A. Gouda,Abdo Gouda,
EGY,زد,2026-2027,3,A. Lotfi,,
EGY,زد,2026-2027,3,M. Mazzika,Mohamed Mazzika,
EGY,زد,2023-2024 .. 2025-2026,3,P. Mutumosi Zilu,,
EGY,زد,2025-2026,3,Sulahmana Mamadu Bah,,
EGY,زد,2025-2026,3,Y. Osama Nabih,,
EGY,زد,2026-2027,2,O. Khedr,Omar Khedr,
EGY,زد,2025-2026 .. 2026-2027,2,M. Mohamed,,
EGY,زد,2024-2025,2,Islam Abdellah,,
EGY,زد,2025-2026,2,M. Bah,,
EGY,زد,2023-2024,2,Marwan Mahmoud,,
EGY,زد,2025-2026,2,Mohamed Mazzika,,
EGY,زد,2024-2025,2,Muhammed Sawaneh,,
EGY,زد,2025-2026,2,S. Ibrahim,,
EGY,زد,2025-2026,2,Z. El Sayed,,
EGY,زد,2025-2026,1,A. Castelo,,
EGY,زد,2025-2026,1,A. Sayed,,
EGY,زد,2025-2026,1,A. Seif,,
EGY,زد,2023-2024,1,A. Yalew,,
EGY,زد,2023-2024,1,Abel Yalew,,
EGY,زد,2025-2026,1,Amara Keita,,
EGY,زد,2025-2026,1,K. Gomaa,,
EGY,زد,2025-2026,1,Karim Gomaa,,
EGY,زد,2025-2026,1,Mostafa Okasha,,
EGY,زد,2024-2025,1,Y. Rafael,,
EGY,سموحة,2022-2023 .. 2026-2027,73,Hossam Hassan,,
EGY,سموحة,2022-2023 .. 2025-2026,54,Fady Farid,,
EGY,سموحة,2022-2023 .. 2026-2027,53,Ahmed Khaled,,
EGY,سموحة,2022-2023 .. 2025-2026,46,Hussein Faisal,,
EGY,سموحة,2022-2023 .. 2025-2026,45,S. Amadi,,
EGY,سموحة,2022-2023 .. 2025-2026,43,Amr Kalawa,,
EGY,سموحة,2022-2023 .. 2025-2026,41,Mohamed Saeed,Mohamed Al Sereidi,
EGY,سموحة,2022-2023 .. 2025-2026,39,Mahmoud Saber,,
EGY,سموحة,2022-2023 .. 2026-2027,32,Ahmed Gamal,,
EGY,سموحة,2022-2023 .. 2025-2026,31,A. Fawzi,Ahmad Fawzi Johar Faraj Abdalla | Ahmed Fawzi | Ali Fawzi,
EGY,سموحة,2024-2025 .. 2026-2027,28,P. Badji,Pape Badji,
EGY,سموحة,2022-2023 .. 2025-2026,27,Sherif Reda,,
EGY,سموحة,2022-2023 .. 2024-2025,26,Mostafa El Badry,,
EGY,سموحة,2025-2026 .. 2026-2027,25,S. Fekri,,
EGY,سموحة,2024-2025 .. 2026-2027,24,A. Samadou,Samadou Attidjikou,
EGY,سموحة,2023-2024 .. 2026-2027,24,Abdel Rahman Amer,,
EGY,سموحة,2022-2023 .. 2024-2025,23,D. Dokou,,
EGY,سموحة,2022-2023 .. 2025-2026,23,Hesham Hafez,,
EGY,سموحة,2023-2024 .. 2026-2027,21,A. Liadi,Abubakar Liday,
EGY,سموحة,2022-2023 .. 2024-2025,19,Ahmed Mostafa,,
EGY,سموحة,2022-2023 .. 2026-2027,19,Mohamed Essam,,
EGY,سموحة,2025-2026 .. 2026-2027,18,K. El Ghandour,Khaled El Ghandour,
EGY,سموحة,2024-2025 .. 2025-2026,16,Samadou Attidjikou,,
EGY,سموحة,2022-2023 .. 2024-2025,15,Islam Gaber,,
EGY,سموحة,2022-2023 .. 2025-2026,13,Barakat Haggag,,
EGY,سموحة,2025-2026 .. 2026-2027,13,H. Ashraf,Hossam Ashraf,
EGY,سموحة,2022-2023,13,Mahmoud Abdel Halim,,
EGY,سموحة,2025-2026 .. 2026-2027,13,A. El Sisi,Amr El Sisi,
EGY,سموحة,2023-2024 .. 2026-2027,13,Dokou Dodo,,
EGY,سموحة,2022-2023 .. 2025-2026,12,Mostafa El-Badry,,
EGY,سموحة,2022-2023 .. 2025-2026,11,Eslam Gaber,,
EGY,سموحة,2022-2023 .. 2025-2026,11,Khaled Abdelfattah,,
EGY,سموحة,2022-2023 .. 2026-2027,11,Mido Mostafa,,
EGY,سموحة,2022-2023 .. 2025-2026,11,Mohamed Metwally Canaria,,
EGY,سموحة,2023-2024 .. 2025-2026,11,Samuel Amadi,,
EGY,سموحة,2022-2023 .. 2025-2026,11,Tariq Alaa,,
EGY,سموحة,2025-2026 .. 2026-2027,10,A. Yehia,,
EGY,سموحة,2022-2023 .. 2024-2025,10,Ahmed Hakam,,
EGY,سموحة,2025-2026 .. 2026-2027,10,M. Ragab,,
EGY,سموحة,2022-2023 .. 2024-2025,10,El-Hani Soliman,,
EGY,سموحة,2024-2025 .. 2025-2026,10,Pape Badji,,
EGY,سموحة,2022-2023 .. 2026-2027,10,Tarek Alaa,,
EGY,سموحة,2025-2026 .. 2026-2027,8,A. Amer,Amer Mohamed,
EGY,سموحة,2023-2024,8,L. Dahdouh,,
EGY,سموحة,2022-2023 .. 2025-2026,8,Mohamed El-Maghrabi,,
EGY,سموحة,2022-2023,7,Douko Dodo,,
EGY,سموحة,2022-2023,7,Mohamed Nadi,,
EGY,سموحة,2022-2023,6,M. Baayou,,
EGY,سموحة,2023-2024,6,O. Ajayi,,
EGY,سموحة,2022-2023 .. 2024-2025,6,Mohamed El Maghraby,,
EGY,سموحة,2023-2024,5,A. Benkassou,,
EGY,سموحة,2023-2024 .. 2026-2027,5,M. Desouki,Mohamed Desouki,
EGY,سموحة,2024-2025 .. 2025-2026,5,Mohamed Kone,,
EGY,سموحة,2025-2026 .. 2026-2027,4,A. Mayhoub,Ahmed Mayhoub,
EGY,سموحة,2022-2023,4,A. Sylla,,
EGY,سموحة,2022-2023 .. 2025-2026,4,Omar Salah,,
EGY,سموحة,2025-2026 .. 2026-2027,4,H. Hafez,Hesham Hafez,
EGY,سموحة,2024-2025 .. 2026-2027,4,K. Mohamed,,
EGY,سموحة,2022-2023 .. 2025-2026,4,Abubakar Liday,,
EGY,سموحة,2022-2023,3,A. Lilday,,
EGY,سموحة,2026-2027,2,H. Taimour,Hussein Taimor,
EGY,سموحة,2022-2023 .. 2024-2025,2,Ahmed Abdel Rasoul,,
EGY,سموحة,2022-2023 .. 2025-2026,2,Ahmed Mayhoub,,
EGY,سموحة,2023-2024,2,Lahcen Dahdouh,,
EGY,سموحة,2023-2024,2,Mahmoud Waheed,,
EGY,سموحة,2023-2024,2,Mahmoud Wahid,,
EGY,سموحة,2022-2023 .. 2023-2024,2,Mohamed Essam Emara,,
EGY,سموحة,2025-2026,2,Mohamed Ragab,,
EGY,سموحة,2025-2026,2,S. Reda,,
EGY,سموحة,2025-2026,2,Y. Afifi,,
EGY,سموحة,2026-2027,1,E. Nweke,Emmanuel Nweke,
EGY,سموحة,2026-2027,1,Makarona,Mohamed Saeed,
EGY,سموحة,2025-2026,1,A. Hakam,,
EGY,سموحة,2024-2025,1,Abdallah Bostangy,,
EGY,سموحة,2023-2024,1,Ahnmed Ehab,,
EGY,سموحة,2022-2023,1,Alia Sylla,,
EGY,سموحة,2022-2023,1,Doku Dodo,,
EGY,سموحة,2023-2024,1,El Habib Hassan,,
EGY,سموحة,2022-2023,1,El Hany Soliman,,
EGY,سموحة,2022-2023,1,El Sabahy Emad,,
EGY,سموحة,2024-2025,1,Hussein Taimor,,
EGY,سموحة,2025-2026,1,Juhayna,,
EGY,سموحة,2025-2026,1,M. Dabash,,
EGY,سموحة,2022-2023,1,Mahmoud  Abdel Halim,,
EGY,سموحة,2022-2023,1,Mamdouh Abd Rabo,,
EGY,سموحة,2024-2025,1,Mohamed Ragab El Safi,,
EGY,سموحة,2022-2023,1,Momen Mohamed Abd Rabo,,
EGY,سموحة,2022-2023,1,R. El Barjiji,,
EGY,سموحة,2022-2023,1,Rida El Barjiji,,
EGY,سموحة,2022-2023,1,Sodiq Ougola,,
EGY,سموحة,2025-2026,1,Stephen Amankona,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,72,Ahmed Belhadji,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,66,Mohamed Ibrahim,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2026-2027,61,Ahmed Yasser Rayan,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2026-2027,59,J. Ebuka,John Okoye Ebuka,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,56,S. Ougola,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2026-2027,53,Mahmoud Zalaka,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,50,Islam Issa,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,42,Mohamed Toni,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,40,Ragab Nabil,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2026-2027,35,Ahmed Ramadan,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2026-2027,34,Mohamed Adel,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,32,Karim Nedved,,
EGY,سيراميكا كليوباترا,2025-2026 .. 2026-2027,26,S. Awujoola,,
EGY,سيراميكا كليوباترا,2025-2026 .. 2026-2027,25,A. Belhadji,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,25,Ahmed Hany,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,24,Fagrie Lakay,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2024-2025,24,Mohamed Metwaly Canaria,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2024-2025,23,A. Kendouci,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,21,Ahmed El Armouty,,
EGY,سيراميكا كليوباترا,2025-2026 .. 2026-2027,21,M. Otaka,Marwan Osman,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,18,Mohamed Shokry,,
EGY,سيراميكا كليوباترا,2025-2026 .. 2026-2027,16,M. Reda,Mohamed Reda,
EGY,سيراميكا كليوباترا,2025-2026 .. 2026-2027,15,A. Mukka,Ayman Moka,
EGY,سيراميكا كليوباترا,2023-2024 .. 2024-2025,14,Ahmed Kendouci,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,14,Sodiq Awujoola,,
EGY,سيراميكا كليوباترا,2022-2023 .. 2025-2026,13,Marwan Osman,,
