league,team_ar,seasons,appearances,player_en,full_name_en,player_ar
EGY,الأهلي المصري,2025-2026 .. 2026-2027,8,A. Kouka,Ahmed Nabil Koka,
EGY,الأهلي المصري,2025-2026,8,M. Ben Romdhane,,
EGY,الأهلي المصري,2023-2024,8,W. Abou Ali,,
EGY,الأهلي المصري,2022-2023 .. 2024-2025,7,Khaled Abdel Fattah,,
EGY,الأهلي المصري,2025-2026 .. 2026-2027,6,Y. Ibrahim,Yasser Ibrahim,
EGY,الأهلي المصري,2025-2026 .. 2026-2027,6,Y. Marei,Yassin Marei,
EGY,الأهلي المصري,2022-2023 .. 2025-2026,6,Karim El Debes,,
EGY,الأهلي المصري,2025-2026,6,Mahmoud Trézéguet,,
EGY,الأهلي المصري,2025-2026,5,E. Ashour,,
EGY,الأهلي المصري,2022-2023 .. 2024-2025,5,Mostafa Al Aash,,
EGY,الأهلي المصري,2025-2026 .. 2026-2027,5,K. Fouad,Karim Fouad,
EGY,الأهلي المصري,2022-2023 .. 2025-2026,5,Ahmed  Abdelkader,,
EGY,الأهلي المصري,2022-2023 .. 2025-2026,5,Aliou Dieng,,
EGY,الأهلي المصري,2025-2026,5,M. Attia,,
EGY,الأهلي المصري,2025-2026 .. 2026-2027,4,H. Reyad,,
EGY,الأهلي المصري,2025-2026 .. 2026-2027,4,M. Ateya,Marwan Attia,
EGY,الأهلي المصري,2024-2025,4,Y. Attiat Allah,,
EGY,الأهلي المصري,2022-2023 .. 2025-2026,4,Mohamed Magdy Afsha,,
EGY,الأهلي المصري,2024-2025,4,Nejc Gradišar,,
EGY,الأهلي المصري,2026-2027,3,M. Bakrar,Mounsef Bakrar,
EGY,الأهلي المصري,2024-2025 .. 2025-2026,3,A. Dari,,
EGY,الأهلي المصري,2024-2025 .. 2025-2026,3,Achraf Dari,,
EGY,الأهلي المصري,2023-2024 .. 2025-2026,3,Mostafa Shobeir,,
EGY,الأهلي المصري,2023-2024,3,Reda Slim,,
EGY,الأهلي المصري,2026-2027,2,M. El Shenawy,Mohamed El-Shenawy,
EGY,الأهلي المصري,2026-2027,2,O. Shobeir,Mostafa Shobeir,
EGY,الأهلي المصري,2026-2027,2,S. Benjdida,Soufiane Benjdida,
EGY,الأهلي المصري,2022-2023 .. 2025-2026,2,Achraf Bencharki,,
EGY,الأهلي المصري,2025-2026,2,Ieltsin Camoes,,
EGY,الأهلي المصري,2022-2023,2,M. Dhaoui,,
EGY,الأهلي المصري,2025-2026,2,Mohamed Ali Ben Romdhane,,
EGY,الأهلي المصري,2022-2023 .. 2024-2025,2,Mohamed El Shenawy,,
EGY,الأهلي المصري,2023-2024,2,Mostafa Abou El Khair,,
EGY,الأهلي المصري,2025-2026,2,Y. Belammari,,
EGY,الأهلي المصري,2024-2025,2,Yahia Attiyat Allah,,
EGY,الأهلي المصري,2023-2024 .. 2025-2026,2,Youssef Abdel Hafiz,,
EGY,الأهلي المصري,2023-2024,2,Youssef Gamal,,
EGY,الأهلي المصري,2025-2026,1,I. Al Kadi,,
EGY,الأهلي المصري,2023-2024,1,Ahmed Taemaa,,
EGY,الأهلي المصري,2022-2023,1,Aly Lotfy,,
EGY,الأهلي المصري,2023-2024,1,Anthony Modeste,,
EGY,الأهلي المصري,2023-2024,1,Karim Eldbees,,
EGY,الأهلي المصري,2022-2023,1,Mahmoud Metwalli,,
EGY,الأهلي المصري,2022-2023,1,Mohamed Dhaoui,,
EGY,الأهلي المصري,2022-2023,1,Mohamed Eldawi kresto,,
EGY,الأهلي المصري,2022-2023,1,Motaz El Sayed,,
EGY,الأهلي المصري,2022-2023,1,Percy Tau,,
EGY,الأهلي المصري,2024-2025,1,Youssef Ayman,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,44,Mohamed Hassan,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,39,Abdel Rahman Magdi,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,36,Marwan Hamdi,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,33,Mohamed Bayoumi,,
EGY,الإسماعيلي,2023-2024 .. 2025-2026,30,Nader Farag,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,27,Mohamed Nasr,,
EGY,الإسماعيلي,2022-2023 .. 2024-2025,26,Mohamed Abdel Samiae,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,26,Mohamed Desouki,,
EGY,الإسماعيلي,2023-2024 .. 2025-2026,23,Mohamed Ammar,,
EGY,الإسماعيلي,2022-2023 .. 2024-2025,23,Hesham Mohamed,,
EGY,الإسماعيلي,2022-2023 .. 2024-2025,21,E. Traoré,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,18,Hatem Mohamed,,
EGY,الإسماعيلي,2025-2026 .. 2026-2027,17,A. Mohamed,Abdelghani Mohamed,
EGY,الإسماعيلي,2022-2023 .. 2024-2025,17,Omar El Saeey,,
EGY,الإسماعيلي,2022-2023 .. 2024-2025,17,Essam Sobhy,,
EGY,الإسماعيلي,2022-2023 .. 2023-2024,16,H. Nagguez,,
EGY,الإسماعيلي,2022-2023 .. 2023-2024,15,Basem Morsy,,
EGY,الإسماعيلي,2023-2024 .. 2025-2026,15,Abdel Karim Mostafa,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,14,Ahmed Adel,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,14,Emad Hamdi,,
EGY,الإسماعيلي,2023-2024 .. 2024-2025,14,Hatem Mohamed Sukar,,
EGY,الإسماعيلي,2025-2026,14,M. Khatary,,
EGY,الإسماعيلي,2025-2026,13,A. Abdelsalam,,
EGY,الإسماعيلي,2022-2023 .. 2024-2025,13,Emad Hamdy,,
EGY,الإسماعيلي,2022-2023,13,F. Chaouat,,
EGY,الإسماعيلي,2025-2026,13,N. Farag,,
EGY,الإسماعيلي,2023-2024 .. 2024-2025,12,Abdel Rahman El Dah,,
EGY,الإسماعيلي,2023-2024 .. 2025-2026,11,Abdelrahman El Dah,,
EGY,الإسماعيلي,2022-2023,11,Karim Arafat,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,11,Mohamed Abdelsamia,,
EGY,الإسماعيلي,2022-2023 .. 2025-2026,11,Omar El Saaiy,,
EGY,الإسماعيلي,2023-2024 .. 2024-2025,10,Ali Omar El Malawany,,
EGY,الإسماعيلي,2023-2024 .. 2024-2025,10,Khalid Al Nabrisi,,
EGY,الإسماعيلي,2025-2026 .. 2026-2027,10,K. Al Nabris,Khaled Alnabrisi | Khalied Alnabrisi,
EGY,الإسماعيلي,2025-2026 .. 2026-2027,10,M. Samiae,,
EGY,الإسماعيلي,2023-2024 .. 2025-2026,10,Khaled Alnabrisi,,
EGY,الإسماعيلي,2022-2023 .. 2023-2024,9,Mahmoud Shabrawy,,
EGY,الإسماعيلي,2025-2026,9,A. Katkot,,
EGY,الإسماعيلي,2023-2024 .. 2025-2026,9,Mohamed Ihab,,
EGY,الإسماعيلي,2025-2026,8,A. El Dah,,
EGY,الإسماعيلي,2024-2025,8,Mohamed Khatary,,
EGY,الإسماعيلي,2025-2026,8,Abdallah Mohamed,,
EGY,الإسماعيلي,2025-2026,7,H. Mansour,,
EGY,الإسماعيلي,2025-2026 .. 2026-2027,7,M. Nasr,Mohamed Nasr,
EGY,الإسماعيلي,2025-2026,7,M. Ehab,,
EGY,الإسماعيلي,2025-2026,6,Anwar Abdelsalam,,
EGY,الإسماعيلي,2022-2023 .. 2023-2024,6,Saleh Gomaa,,
EGY,الإسماعيلي,2025-2026,5,M. Samir,,
EGY,الإسماعيلي,2025-2026,5,Abdallah Gamal,,
EGY,الإسماعيلي,2022-2023 .. 2023-2024,5,Hamdi Nagguez,,
EGY,الإسماعيلي,2023-2024 .. 2024-2025,5,Mohamed Zidan,,
EGY,الإسماعيلي,2025-2026,4,A. El Malawany,,
EGY,الإسماعيلي,2023-2024,4,Eiad El Askalany,,
EGY,الإسماعيلي,2024-2025 .. 2025-2026,4,Eric Traore,,
EGY,الإسماعيلي,2022-2023,4,Firas Chaouat,,
EGY,الإسماعيلي,2024-2025 .. 2025-2026,4,Ibrahim El Nagaawy,,
EGY,الإسماعيلي,2025-2026,4,M. Abdelsamia,,
EGY,الإسماعيلي,2025-2026,3,E. Traore,,
EGY,الإسماعيلي,2025-2026,3,M. Ammar,,
EGY,الإسماعيلي,2022-2023 .. 2023-2024,3,Ahmed Abdel Moneim,,
EGY,الإسماعيلي,2022-2023 .. 2023-2024,3,Ahmed Mohsen,,
EGY,الإسماعيلي,2025-2026,3,Hassan Mansour,,
EGY,الإسماعيلي,2025-2026,3,I. Abdelaal,,
EGY,الإسماعيلي,2025-2026,3,I. El Nagaawy,,
EGY,الإسماعيلي,2025-2026,3,Ibrahim Abdel Aal,,
EGY,الإسماعيلي,2025-2026,3,M. Wagdi,,
EGY,الإسماعيلي,2022-2023 .. 2023-2024,3,Mohamed Fawzy,,
EGY,الإسماعيلي,2024-2025 .. 2025-2026,3,Mohamed Wagdi,,
EGY,الإسماعيلي,2025-2026,2,H. Mohamed Sukar,,
EGY,الإسماعيلي,2023-2024 .. 2024-2025,2,Abdel Karim Shehata,,
EGY,الإسماعيلي,2023-2024,2,Abdel Katkout,,
EGY,الإسماعيلي,2025-2026,2,Abdelrahman Katkot,,
EGY,الإسماعيلي,2024-2025 .. 2025-2026,2,Ali El Malawany,,
EGY,الإسماعيلي,2023-2024 .. 2025-2026,2,Amr El Saeed,,
EGY,الإسماعيلي,2025-2026,2,O. Ahmed,,
EGY,الإسماعيلي,2025-2026,2,O. El Kot,,
EGY,الإسماعيلي,2025-2026,2,Omar El Kot,,
EGY,الإسماعيلي,2025-2026,1,K. Shehata,,
EGY,الإسماعيلي,2022-2023,1,Sobhi Soliman,,
EGY,الإسماعيلي,2025-2026,1,A. Al Malwani,,
EGY,الإسماعيلي,2025-2026,1,A. Fattah,,
EGY,الإسماعيلي,2025-2026,1,A. Hassan,,
EGY,الإسماعيلي,2025-2026,1,A. Katkout,,
EGY,الإسماعيلي,2024-2025,1,Abdallah El Saeed,,
EGY,الإسماعيلي,2025-2026,1,Abdul Rahman Mahrous,,
EGY,الإسماعيلي,2022-2023,1,Ahmed Abdel Wahab,,
EGY,الإسماعيلي,2023-2024,1,E. El Askalny,,
EGY,الإسماعيلي,2023-2024,1,Eyad El Askalany,,
EGY,الإسماعيلي,2023-2024,1,Hamadah Salah,,
EGY,الإسماعيلي,2024-2025,1,Kamal El Sayed,,
EGY,الإسماعيلي,2025-2026,1,M. Zidan,,
EGY,الإسماعيلي,2024-2025,1,Mohamed Ehab,,
EGY,الإسماعيلي,2023-2024,1,Nader Alaa,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,65,Mabululu,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,56,B. Boateng,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,53,Khaled El Ghandour,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,44,Karim El Deeb,,
EGY,الاتحاد السكندري,2022-2023 .. 2024-2025,33,Ibrahim Hassan,,
EGY,الاتحاد السكندري,2022-2023 .. 2026-2027,31,Omar El Wahsh,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,25,Mahmoud Alaa,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,25,Naser Naser,,
EGY,الاتحاد السكندري,2023-2024 .. 2024-2025,24,Ahmed Adel Messi,,
EGY,الاتحاد السكندري,2022-2023 .. 2024-2025,23,Abdel Ghani Mohamed,,
EGY,الاتحاد السكندري,2022-2023 .. 2024-2025,22,Salifu Moro,,
EGY,الاتحاد السكندري,2022-2023 .. 2024-2025,20,Mohamed Mahmoud,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,20,Mostafa Ibrahim,,
EGY,الاتحاد السكندري,2022-2023 .. 2024-2025,19,Hesham Salah,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,19,Y. Wahid,Youssry Wahid,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,19,Benjamin Bernard Boateng,,
EGY,الاتحاد السكندري,2022-2023 .. 2023-2024,18,Ahmed Eid Abdel Naby,,
EGY,الاتحاد السكندري,2022-2023,18,Ahmed Elkalamawy,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,18,F. Farid,Fady Farid,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,17,A. Magdi,Abdel Rahman Magdi,
EGY,الاتحاد السكندري,2023-2024 .. 2024-2025,16,Amr Saleh,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,16,M. Alaa,Mahmoud Alaa | Mohamed Alaa,
EGY,الاتحاد السكندري,2023-2024 .. 2024-2025,16,V. Bekalé Aubame,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,15,Mahmoud Abdel Aziz,,
EGY,الاتحاد السكندري,2022-2023,14,A. Amutu,,
EGY,الاتحاد السكندري,2024-2025 .. 2026-2027,14,Amr Gomaa,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,13,K. El Deeb,Karim El Deeb,
EGY,الاتحاد السكندري,2022-2023 .. 2024-2025,13,M. Salifu,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,13,M. Tony,Mohamed Toni,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,12,Abdelghani Mohamed,,
EGY,الاتحاد السكندري,2024-2025,10,Islam Samir,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,10,Mahmoud Shabana,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,10,S. Isaac,I. Saviour | Isaac Saviour,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,9,Afsha,Mohamed Magdy Afsha,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,9,John Okoye Ebuka,,
EGY,الاتحاد السكندري,2024-2025,8,E. Apeh,,
EGY,الاتحاد السكندري,2023-2024,8,Islam Abou Salima,,
EGY,الاتحاد السكندري,2025-2026,8,M. Dunga,,
EGY,الاتحاد السكندري,2022-2023 .. 2024-2025,7,Khaled Sobhy,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,7,M. Mostafa,,
EGY,الاتحاد السكندري,2022-2023,7,Mohammed Saleh,,
EGY,الاتحاد السكندري,2022-2023 .. 2023-2024,7,S. Touka,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,7,K. Abdelfattah,,
EGY,الاتحاد السكندري,2025-2026,7,Canaria,,
EGY,الاتحاد السكندري,2022-2023 .. 2025-2026,7,Mahdi Soliman,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,6,S. Soliman,,
EGY,الاتحاد السكندري,2025-2026,5,H. Balaha,,
EGY,الاتحاد السكندري,2026-2027,5,J. Arumala,Joseph Arumala,
EGY,الاتحاد السكندري,2026-2027,5,K. Semakula,Kenneth Semakula,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,5,N. Alaa,Nour Alaa,
EGY,الاتحاد السكندري,2026-2027,5,P. Phiri,Pascal Phiri,
EGY,الاتحاد السكندري,2024-2025 .. 2025-2026,5,Amr Amr Gomaa,,
EGY,الاتحاد السكندري,2023-2024 .. 2024-2025,5,Bekale Aubame,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,5,Isaac Saviour,,
EGY,الاتحاد السكندري,2025-2026 .. 2026-2027,4,I. Abdellah,Islam Abdallah,
EGY,الاتحاد السكندري,2026-2027,4,K. Mosaad,Khaled Mosaad,
EGY,الاتحاد السكندري,2022-2023,4,Ahmed Bahaa,,
EGY,الاتحاد السكندري,2025-2026,4,B. Aubame,,
EGY,الاتحاد السكندري,2025-2026,4,Body,,
EGY,الاتحاد السكندري,2024-2025,4,Filipe Nascimento,,
EGY,الاتحاد السكندري,2024-2025 .. 2025-2026,4,Mohamed Samy,,
EGY,الاتحاد السكندري,2024-2025,4,S. Moro,,
