priority,league,team_ar,goals_or_apps,player_en,player_ar
D,SAU,الفتح,9,Muhannad Al Yahya,
D,SAU,الفتح,28,Noah Al Mousa,
D,SAU,الفتح,17,O. Al Othman,
D,SAU,الفتح,2,Sattam Al Subaiei,
D,SAU,الفتح,28,Suhayb Al Zaid,
D,SAU,الفتح,8,Tawfiq Bu Haymid,
D,SAU,الفتح,28,Z. Al Jari,
D,SAU,الفتح,24,Ziyad Al Jari,
D,SAU,الفتح,1,Ziyad Aljari,
D,SAU,الفيحاء,25,A. Al Duqayl,
D,SAU,الفيحاء,1,A. Al Harshan,
D,SAU,الفيحاء,6,A. Al Hussain,
D,SAU,الفيحاء,15,A. Al Jouei,
D,SAU,الفيحاء,34,A. Bamsaud,
D,SAU,الفيحاء,6,A. Contreras,
D,SAU,الفيحاء,17,A. Radif,
D,SAU,الفيحاء,1,A. S. Saikou,
D,SAU,الفيحاء,2,Abdulaziz Al Murdih,
D,SAU,الفيحاء,2,Abdulraouf Al Dakheel,
D,SAU,الفيحاء,4,Abdulrhman,
D,SAU,الفيحاء,11,Ali Al Jubaya,
D,SAU,الفيحاء,1,D. Al Habeeb,
D,SAU,الفيحاء,1,F. Alhubayshi,
D,SAU,الفيحاء,55,G. Cimirot,
D,SAU,الفيحاء,31,G. Konan,
D,SAU,الفيحاء,14,Gabriel Vareta,
D,SAU,الفيحاء,11,Hussam Majrashi,
D,SAU,الفيحاء,1,J. Kanon,
D,SAU,الفيحاء,24,K. Al Rammah,
D,SAU,الفيحاء,16,Khaled Al Rammah,
D,SAU,الفيحاء,4,Khalid Al Rammah,
D,SAU,الفيحاء,15,M. Al Abdulmanam,
D,SAU,الفيحاء,34,M. Al Baqawi,
D,SAU,الفيحاء,34,M. Al Beshe,
D,SAU,الفيحاء,1,M. Al Dowaish,
D,SAU,الفيحاء,5,M. Pavkov,
D,SAU,الفيحاء,45,Makhir Al Rashidi,
D,SAU,الفيحاء,28,Malek Al Abadalmanam,
D,SAU,الفيحاء,2,Malek Al Abdulmanam,
D,SAU,الفيحاء,28,Mohammed Al Dowaish,
D,SAU,الفيحاء,7,Mohammed Majrashi,
D,SAU,الفيحاء,17,Mukhir Al Rashidi,
D,SAU,الفيحاء,33,N. Al Harthi,
D,SAU,الفيحاء,28,O. Shukurov,
D,SAU,الفيحاء,2,Osama Al Turki,
D,SAU,الفيحاء,1,P. Oliveira,
D,SAU,الفيحاء,30,R. Enad,
D,SAU,الفيحاء,35,R. Kaabi,
D,SAU,الفيحاء,21,Rangel,
D,SAU,الفيحاء,6,Redha Al Abdullah,
D,SAU,الفيحاء,4,S. Al Roqi,
D,SAU,الفيحاء,12,S. Al Shammari,
D,SAU,الفيحاء,10,S. Vrontis,
D,SAU,الفيحاء,12,Satam Al Lehiyani,
D,SAU,الفيحاء,30,Sattam Al Ruqi,
D,SAU,الفيحاء,4,Sattam Al Shammari,
D,SAU,الفيحاء,32,V. Stojković,
D,SAU,الفيحاء,4,Víctor Ruiz,
D,SAU,الفيحاء,16,Yousef Haqawi,
D,SAU,الفيحاء,31,Z. Al Sahafi,
D,SAU,الفيصلي,1,Abdullah Almogren,
D,SAU,الفيصلي,1,Abdullah Bin Subayt,
D,SAU,الفيصلي,1,Abdulrahman Al-Shereaf,
D,SAU,الفيصلي,1,Alexandre Mendy,
D,SAU,الفيصلي,1,André Jordy Ella,
D,SAU,الفيصلي,1,Fernando Pacheco,
D,SAU,الفيصلي,1,Jaime Seoane,
D,SAU,الفيصلي,1,Khalid Al-Harbi,
D,SAU,الفيصلي,1,Mohammed Al-Hasawi,
D,SAU,الفيصلي,1,Mohammed Al-Shanqiti,
D,SAU,الفيصلي,1,Saud Haddad,
D,SAU,الفيصلي,1,Théo Bongonda,
D,SAU,الفيصلي,1,Yaseen Barnawi,
D,SAU,القادسية,1,A. Abdulaziz Al Jwayzan,
D,SAU,القادسية,25,A. Al Kassar,
D,SAU,القادسية,1,A. Al Muhaysin,
D,SAU,القادسية,10,A. Al Yuhaybi,
D,SAU,القادسية,1,A. Vergaz,
D,SAU,القادسية,23,Abdulaziz Al Awardi,
D,SAU,القادسية,17,Abdullah Tarmin,
D,SAU,القادسية,32,Abdulrahman Al Dosari,
D,SAU,القادسية,2,Ahmed Kaabi,
D,SAU,القادسية,1,Alejandro Vergaz,
D,SAU,القادسية,1,C. Puertas,
D,SAU,القادسية,1,E. Fernández,
D,SAU,القادسية,30,G. Alvarez,
D,SAU,القادسية,19,H. Asiri,
D,SAU,القادسية,30,Haitham Asiri,
D,SAU,القادسية,6,Hussain Al Nattar,
D,SAU,القادسية,17,Iker Almena,
D,SAU,القادسية,31,J. Thakri,
D,SAU,القادسية,31,Jehad Thikri,
D,SAU,القادسية,2,Khalid Hazazi,
D,SAU,القادسية,1,M. Sanyor,
D,SAU,القادسية,11,M. Sunyur,
D,SAU,القادسية,54,Mohammed Qasem,
D,SAU,القادسية,35,N. Fernandez,
D,SAU,القادسية,28,N. Nández,
D,SAU,القادسية,16,Otavio,
D,SAU,القادسية,22,Saif Rashad,
D,SAU,القادسية,34,Y. Al Shahrani,
D,SAU,النجمة,33,A. Al Harabi,
D,SAU,النجمة,28,A. Al Hawsawi,
D,SAU,النجمة,14,A. Al Najjar,
D,SAU,النجمة,23,A. Al Shammeri,
D,SAU,النجمة,23,F. Al Abdulraziq,
D,SAU,النجمة,18,K. Al Muqaitib,
D,SAU,النجمة,25,K. Al Shammari,
D,SAU,النجمة,23,K. Al Subaie,
D,SAU,النجمة,13,M. Al Fatil,
D,SAU,النجمة,4,M. Al Kunaydiri,
D,SAU,النجمة,12,M. Mile,
D,SAU,النجمة,2,M. Prekodravac,
D,SAU,النجمة,5,M. Sharrahi,
D,SAU,النجمة,30,M. Y. Dawran M.,
D,SAU,النجمة,27,N. Al Hawsawi,
D,SAU,النجمة,1,N. Al Rashwodi,
D,SAU,النجمة,12,N. Dunga,
D,SAU,النجمة,10,R. Quioto,
D,SAU,النجمة,15,S. Al Essa,
D,SAU,النجمة,21,W. Al Enezi,
D,SAU,النصر,41,A. Al Hassan,
D,SAU,النصر,1,A. Al Jaber,
D,SAU,النصر,3,A. Al Otaibi,
D,SAU,النصر,3,A. Aman,
D,SAU,النصر,2,Abdulaziz Al Faraj,
D,SAU,النصر,16,Abdulmajeed Al Sulaiheem,
D,SAU,النصر,1,Abdulrahman Al-Otaibi,
D,SAU,النصر,12,Awad Aman,
D,SAU,النصر,4,Bassam Hazazi,
D,SAU,النصر,12,D. Ospina,
D,SAU,النصر,5,Faris Afandy,
D,SAU,النصر,1,Iñigo Martínez,
D,SAU,النصر,1,Kingsley Coman,
D,SAU,النصر,7,M. Al Buainain,
D,SAU,النصر,27,M. Maran,
D,SAU,النصر,2,M. Marran,
D,SAU,النصر,46,Majed Qasheesh,
D,SAU,النصر,4,Mohammed Hazazi,
D,SAU,النصر,8,Mohammed Maran,
D,SAU,النصر,1,Mohammed Suhluli,
D,SAU,النصر,2,Mubarak Al Buainain,
D,SAU,النصر,1,Muhammad Sahlouli,
D,SAU,النصر,25,N. Al Aqidi,
D,SAU,النصر,27,N. Al Sharari,
D,SAU,النصر,33,N. Boushal,
D,SAU,النصر,2,R. Al Ghamdi,
D,SAU,النصر,16,Raghed Najjar,
D,SAU,النصر,33,S. Al Ghannam,
D,SAU,النصر,29,S. Al Najdi,
D,SAU,النصر,22,S. Al Nasser,
D,SAU,النصر,1,S. Haqawi,
D,SAU,النصر,1,Saad Al-Nasser,
D,SAU,النصر,8,Saad Haqawi,
D,SAU,النصر,1,Samú Costa,
D,SAU,النصر,1,Waleed Hibah,
D,SAU,النصر,4,Youssef Al Tahan,
D,SAU,النصر,1,Ângelo,
D,SAU,الهلال,12,A. Abu Rasen,
D,SAU,الهلال,3,A. Al Zaid,
D,SAU,الهلال,1,A. Jarmosh,
D,SAU,الهلال,32,A. Lajami,
D,SAU,الهلال,2,Abdulaziz Hadhood,
D,SAU,الهلال,2,Abdulilah Al Ghamdi,
D,SAU,الهلال,3,Abdulsalam Barnawi,
D,SAU,الهلال,1,Ahmad Abu Raseen,
D,SAU,الهلال,1,Crysencio Summerville,
D,SAU,الهلال,22,H. Al Yami,
D,SAU,الهلال,7,Habib Al Watyan,
D,SAU,الهلال,38,Hassan Tambakti,
D,SAU,الهلال,2,J. Cancelo,
D,SAU,الهلال,11,Kaio Cesar,
D,SAU,الهلال,6,M. Al Dawood,
D,SAU,الهلال,31,M. Al Rubaie,
D,SAU,الهلال,4,M. Patouillet,
D,SAU,الهلال,1,Meshal Al Dawood,
D,SAU,الهلال,1,Mohamed Kader Meite,
D,SAU,الهلال,1,Mohammed Al Muhaysh,
D,SAU,الهلال,1,Mohammed Al-Owais,
D,SAU,الهلال,1,Mohammed Al-Yami,
D,SAU,الهلال,50,Moteb Al Harbi,
D,SAU,الهلال,1,Moteb Al-Harbi,
D,SAU,الهلال,1,Murad Al Hawsawi,
D,SAU,الهلال,27,N. Al Dawsari,
D,SAU,الهلال,5,P. Mari,
D,SAU,الهلال,5,R. Al-Ghamdi,
D,SAU,الهلال,14,S. Al Mutairi,
D,SAU,الهلال,3,S. Al Zaid,
D,SAU,الهلال,1,Saad Al Muthary,
D,SAU,الهلال,1,Sabri Abdu Dahal,
D,SAU,الهلال,23,Salman Al Faraj,
D,SAU,الهلال,8,Turki Al Ghamil,
D,SAU,الهلال,13,Y. Akcicek,
D,SAU,الوحدة,1,Abdul Rahman Al Hajri,
D,SAU,الوحدة,2,Abdul Rahman Al Shammari,
D,SAU,الوحدة,4,Abdulkarim Al Qahtani,
D,SAU,الوحدة,1,Abdullah Fallatah,
D,SAU,الوحدة,28,Ahmed Al Rashidi,
D,SAU,الوحدة,1,Ahmed Darwish,
D,SAU,الوحدة,34,Ala Al Hajji,
D,SAU,الوحدة,7,Ayman Al Hussaini,
D,SAU,الوحدة,6,Azzam Al Bishi,
D,SAU,الوحدة,26,Hussain Al Eissa,
D,SAU,الوحدة,2,I. de Arruabarrena,
D,SAU,الوحدة,33,Islam Hawsawi,
D,SAU,الوحدة,17,Jaber Nasser Asiri,
D,SAU,الوحدة,27,M. Mohamedi,
D,SAU,الوحدة,1,Mohammed Al Sufyani,
D,SAU,الوحدة,5,Naif Kariri,
D,SAU,الوحدة,10,Naif Kireiri,
D,SAU,الوحدة,20,Nawaf bin Saleh Al Azizi,
D,SAU,الوحدة,3,Ridha Abdullah Ambadu,
D,SAU,الوحدة,11,Sultan Al Akouz,
D,SAU,الوحدة,25,V. van Crooij,
D,SAU,الوحدة,32,Waleed Bakshwn,
D,SAU,ضمك,32,A. Al Obaid,
D,SAU,ضمك,4,A. Maher,
D,SAU,ضمك,1,A. Namazi,
D,SAU,ضمك,12,A. Omar,
D,SAU,ضمك,33,A. R. Al Khaibre,
D,SAU,ضمك,27,Abdulaziz Makin,
D,SAU,ضمك,10,Abdulbasit Hawswi,
D,SAU,ضمك,50,Abdullah Al Mogren,
D,SAU,ضمك,46,Abdulrahman Al Obaid,
D,SAU,ضمك,1,Bandar Mofrh,
D,SAU,ضمك,14,David Kaiki,
D,SAU,ضمك,32,F. Niță,
D,SAU,ضمك,24,Fahad Al Johani,
D,SAU,ضمك,47,H. Al Ghamdi,
D,SAU,ضمك,29,H. Rabea,
D,SAU,ضمك,9,Hassan Abu Shararah,
D,SAU,ضمك,9,Hassan Al Shamrani,
D,SAU,ضمك,14,J. Al Hassan,
D,SAU,ضمك,19,Jawad Al Hassan,
D,SAU,ضمك,34,K. Al Samiri,
D,SAU,ضمك,23,M. Al Baqaawi,
D,SAU,ضمك,9,M. Al Salkhadi,
D,SAU,ضمك,3,M. Al Shahrani,
D,SAU,ضمك,25,M. Zeghba,
D,SAU,ضمك,1,Majed Alawad,
D,SAU,ضمك,34,Mohammed Al Khaibari,
D,SAU,ضمك,15,Mohammed Al Mahasneh,
D,SAU,ضمك,23,N. Al Ghamdi,
D,SAU,ضمك,9,N. Al Rashidi,
D,SAU,ضمك,30,N. Al Saadi,
D,SAU,ضمك,6,N. Alioui,
D,SAU,ضمك,5,Naser Al Ghamdi,
D,SAU,ضمك,58,Noor Al Rashidi,
D,SAU,ضمك,27,R. Sharahili,
D,SAU,ضمك,49,Sanousi Al Hawsawi,
D,SAU,ضمك,27,T. Abdullah,
D,SAU,ضمك,4,Thamer Al Ali,
D,SAU,ضمك,34,Y. Naji,
D,SAU,ضمك,1,Yahya Abu Dahi,
D,SAU,ضمك,1,Z. Makkawi,
D,SAU,نيوم,7,A. Al Anzi,
D,SAU,نيوم,7,A. Al Khanani,
D,SAU,نيوم,33,A. Al Saluli,
D,SAU,نيوم,1,A. Dagriri,
D,SAU,نيوم,22,A. Fallatah,
D,SAU,نيوم,12,A. Hejji,
D,SAU,نيوم,33,F. Abdi,
D,SAU,نيوم,2,F. Ghafli,
D,SAU,نيوم,3,G. Balanta Olivar,
D,SAU,نيوم,26,H. Al Ali,
D,SAU,نيوم,1,H. Camara,
D,SAU,نيوم,34,I. Hawsawi,
D,SAU,نيوم,3,J. Carabali,
D,SAU,نيوم,30,L. Maximiano,
D,SAU,نيوم,1,M. Al Dossary,
D,SAU,نيوم,6,M. Al Hakim,
D,SAU,نيوم,7,M. Bulka,
D,SAU,نيوم,32,M. Malayekah,
D,SAU,نيوم,1,M. Sarr,
D,SAU,نيوم,2,R. Ozaybi,
D,SAU,نيوم,21,S. Al Faraj,
D,SAU,نيوم,10,Y. Al Shanqeeti,
D,SAU,نيوم,3,Y. Gharwi,
