match_id,league_code,season,date,home_name,away_name,home_goals,away_goals,note,source
9000001,IRQ,2025,2026-05-02,الكهرباء,النجف,3,0,ألغيت لاعتداء على الحكم — حسم إداري,لجنة الاستئناف مايو 2026
9000002,IRQ,2025,2026-04-15,بغداد,زاخو,3,0,اعتراض أمانة بغداد على مشاركة لاعب مخالف,لجنة الانضباط أبريل 2026 (شفق نيوز)
9000003,IRQ,2025,2025-11-15,الطلبة,النفط,0,3,إشراك لاعب برقم مخالف للاستمارة — تقلّب القرار بالاستئناف,لجنة الانضباط
9000004,IRQ,2025,2026-06-02,القاسم,الموصل,0,3,عدم حضور القاسم للملعب — الجولة الأخيرة,شفق نيوز يونيو 2026
9000005,IRQ,2025,2025-12-23,الكهرباء,القاسم,3,0,القاسم حضر بتشكيلة ناقصة وألغيت المباراة د.12,كووورة ديسمبر 2025
9000006,IRQ,2025,2026-05-20,الكرمة,الكهرباء,3,0,حسم إداري — التاريخ تقديري,استنتاج حسابي مطابق للجدول الرسمي
9000007,IRQ,2025,2025-10-05,ديالى,الموصل,3,0,اعتراض ديالى على إشراك الموصل 7 محترفين,لجنة الانضباط (موقع رادار أكتوبر 2025)
1176885,EGY,2023,2024-06-25,الأهلي المصري,الزمالك,2,0,الزمالك رفض اللعب (احتجاجاً على التحكيم) فحُسمت إدارياً + خُصمت 3 نقاط إضافية من الزمالك (غير قابلة للتمثيل بنتيجة مباراة — فرق دائم موثَّق بـcompare_standings),KingFut 25-6-2024 + PanAfricaFootball (EFA)
